1;6;20;25;35;41;45
2;1;2;22;28;35;43
3;13;18;26;28;33;38
4;2;17;28;33;34;38
5;1;8;16;26;40;41
6;2;9;16;31;32;38
7;6;15;34;35;39;44
8;6;12;15;22;26;37
9;3;15;21;30;35;41
10;13;19;35;41;42;45
11;2;10;21;25;27;31
12;1;4;6;35;38;45
13;3;12;17;22;35;41
14;2;8;9;30;32;37
15;4;9;33;34;38;42
16;6;17;22;25;41;43
17;4;13;26;42;43;44
18;8;16;18;21;34;35
19;3;10;14;17;26;37
20;11;21;22;25;41;43
21;1;4;18;26;33;36
22;11;12;15;22;23;34
23;15;18;22;28;35;44
24;7;17;26;28;31;32
25;16;19;22;29;32;45
26;8;10;14;26;28;41
27;14;18;21;22;43;44
28;15;23;35;42;44;45
29;7;12;27;39;40;44
30;9;12;16;20;34;43
31;2;3;14;15;34;42
32;1;2;24;27;34;40
33;2;12;18;26;39;45
34;3;14;16;22;38;44
35;4;18;19;22;28;42
36;2;6;8;23;36;45
37;13;16;20;33;34;41
38;19;23;24;26;39;42
39;5;14;18;20;26;38
40;4;8;14;22;41;44
41;2;10;13;30;37;45
42;1;8;11;14;25;42
43;13;14;17;19;29;31
44;3;11;13;16;24;37
45;6;10;20;25;28;36
46;3;4;5;24;30;45
47;5;17;20;24;30;34
48;10;14;18;30;33;41
49;2;12;15;18;19;45
50;10;14;16;26;36;42
51;5;9;17;30;37;40
52;1;10;14;31;33;41
